Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source,Statut_Reel
Berger,Carrefour,Supermarché,Formel,Carrefour,33.5738188,-7.6446827,icons/supermarket.png,OSM,Formel
Ain Diab,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5771567,-7.6741813,icons/supermarket.png,OSM,Formel
راسين,Carrefour Gourmet,Supermarché,Formel,Avenue Ahmed Charci شارع أحمد الشرسي,33.5908121,-7.6462218,icons/supermarket.png,OSM,Formel
Anfa Supérieur,Carrefour,Supermarché,Formel,Boulevard de la Corniche شارع الكورنيش,33.5981369,-7.6644676,icons/supermarket.png,OSM,Formel
Maârif Extension,Carrefour Market,Supermarché,Formel,Rue Al Fourate زنقة الفرات,33.5802189,-7.6409084,icons/supermarket.png,OSM,Formel
Les Hôpitaux,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5730326,-7.6198771,icons/supermarket.png,OSM,Formel
Sour Jdid,Carrefour Market,Supermarché,Formel,Boulevard Ziraoui شارع الزيراوي,33.597148,-7.6294045,icons/supermarket.png,OSM,Formel
Assoukhour Assawda,Carrefour des Saveurs,Restaurant,Formel,Carrefour des Saveurs,33.595159,-7.5913872,icons/restaurant.png,OSM,Formel
Mers Sultan,Carrefour,Supermarché,Formel,Carrefour,33.5844973,-7.6080134,icons/supermarket.png,OSM,Formel
Berger,Carrefour,Supermarché,Formel,Carrefour,33.5739187,-7.6445744,icons/supermarket.png,OSM,Formel
Arrondissement de Mers Sultan,Carrefour Market,Supermarché,Formel,Boulevard de la Gironde,33.5841408,-7.599484,icons/supermarket.png,OSM,Formel
Assoukhour Assawda,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5926838,-7.6011795,icons/supermarket.png,OSM,Formel
Val Fleuri,Carrefour Market,Supermarché,Formel,Rue Henri Murger,33.5740376,-7.6361871,icons/supermarket.png,OSM,Formel
Sidi Maârouf,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5382022,-7.6435543,icons/supermarket.png,OSM,Formel
Sidi Maârouf,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5380366,-7.6432946,icons/supermarket.png,OSM,Formel
Oulad Azzouz,Carrefour,Supermarché,Formel,Carrefour,33.5173168,-7.7990506,icons/supermarket.png,OSM,Formel
Oulad Azzouz,Carrefour Dar Bouzza,Supermarché,Formel,Carrefour Dar Bouzza,33.5176502,-7.7999632,icons/supermarket.png,OSM,Formel
