Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image
Mers Sultan,Cafe 2 Mars,Café,Formel,Avenue 2 Mars,33.5661039,-7.6093338,icons/cafe.png
Mers Sultan,Tacos de Lyon,Restaurant,Formel,Avenue 2 Mars,33.5718335,-7.6138768,icons/restaurant.png
Mers Sultan,Shell Select,Supérette / Mini-market,Formel,Rue Alyazidi Mohamed,33.5733051,-7.6149409,icons/convenience.png
Arrondissement de Mers Sultan,Cafe Clacier Dubai,Restaurant,Formel,Boulevard Mohammed VI,33.578465,-7.6001546,icons/restaurant.png
Arrondissement de Mers Sultan,Pharmacie La Gironde,Parapharmacie,Formel,Rue Infi,33.5838537,-7.599594,icons/pharmacy.png
Les Hôpitaux,Parapharmacie sans nom,Parapharmacie,Formel,Avenue 2 Mars,33.5768907,-7.6152125,icons/pharmacy.png
Les Hôpitaux,McDonald's,Restaurant,Formel,Avenue 2 Mars,33.5759477,-7.6153091,icons/restaurant.png
Mers Sultan,Tacos Avenue,Restaurant,Formel,Avenue 2 Mars,33.5713977,-7.6131754,icons/restaurant.png
Mers Sultan,Mondial,Café,Formel,Avenue 2 Mars,33.5711485,-7.6130091,icons/cafe.png
Mers Sultan,Zén,Restaurant,Formel,Avenue 2 Mars,33.5703496,-7.6124807,icons/restaurant.png
Al Fida,Pharmacie Faris,Parapharmacie,Formel,Boulevard Mohammed VI,33.5662374,-7.5957853,icons/pharmacy.png
Ancienne Medina,Boudad,Café,Formel,Rue Magellan,33.5908082,-7.6049423,icons/cafe.png
Ancienne Medina,Pharmacie du Soleil,Parapharmacie,Formel,Rue Magellan,33.5903669,-7.6040746,icons/pharmacy.png
Arrondissement d'Al Fida,Pharmacie El Farah,Parapharmacie,Formel,Boulevard Bouchaib Doukkali,33.5683103,-7.5845481,icons/pharmacy.png
Arrondissement d'Al Fida,Pharmacie Ghazali,Parapharmacie,Formel,Pharmacie Ghazali,33.5657435,-7.5797457,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Le 5 Palmiers,Café,Formel,Boulevard Tah,33.5322685,-7.5849699,icons/cafe.png
Arrondissement d'Aïn-Chock,Zounhours,Café,Formel,Boulevard Tah,33.5312563,-7.5880645,icons/cafe.png
Arrondissement d'Aïn-Chock,Clip Cafe,Café,Formel,Avenue 2 Mars,33.5397459,-7.5998991,icons/cafe.png
